Sr. No.,Date,Field Code,GC Code,Source,Snake Species,Local/ Common Name,Prey Order,Prey Family,Prey Genus,Prey Species,Body Form,Habitat,Habit,Specimen,Tissue,Condition,Standard Length (cm),Tail Length (cm),Maximum Body Girth (cm),Weight (g),Depth caught (wav),Depth caught (m),Photo No.,Location,Remarks
254,09-05-2019,HSGN4121,HSGN4121,Gill Net,Hydrophis schistosus,Smallscaled terapon,Perciformes,Actinopterygii,,Terapon puta,,,,,Yes,2,8.7,1.8,2.3,8,,,,,
255,09-05-2019,,GCTR4074,Trawler,,Scaly hairfin Anchovy,Clupeiformes,Engraulidae,,Setipinna taty,,,,,Yes,1,8.3,1.7,2.2,8,18,,,Zua,
256,09-05-2019,,GCTR4075,Trawler,,Saddle Grunt,Perciformes,Haemulidae,,Pomadasys maculatum,,,,,Yes,1,8.8,1.6,3.4,20,18,,,Zua,
257,09-05-2019,,GCTR4076,Trawler,,Largscale tonguesole,Pleuronectiformes,Cynoglossidae,,Cynoglossus arel,,,,,Yes,1,7.3,0.8,1.7,2,18,,,Zua,
258,09-05-2019,,GCTR4077,Trawler,,Moustached thryssa,Clupeiformes,Engraulidae,,Thryssa mystax,,,,,Yes,1,9.7,2.2,2.4,10,18,,,Zua,
259,09-05-2019,,GCTR4078,Trawler,,Mantis Shrimp,,,,,,,,,Yes,1,9.5,,1.5,5,18,,,Zua,
260,09-05-2019,,GCTR4079,Trawler,,Conger Eel,Anguiliformes,Congridae,,Bathycongrus nasicus,,,,,Yes,1,36.5,,1.7,28,18,,,Zua,
261,09-05-2019,,GCTR4080,Trawler,,Squid,,,,,,,,,Yes,1,,,,,,,,Zua,
262,10-05-2019,,GCGN4027,Gill Net,,Dussumier's thryssa,Clupeiformes,Engraulidae,,Thryssa dussumieri,,,,,Yes,1,6.8,1.3,1.6,4,8,,,Malvan,
263,10-05-2019,,GCGN4028,Gill Net,,Blackfin Sea Catfish,Silluriformes,Ariidae,,Arius jella,,,,,Yes,1,7.2,1.7,1,5,8,,,Malvan,
264,10-05-2019,,GCGN4029,Gill Net,,Blackfin Sea Catfish,Silluriformes,Ariidae,,Arius jella,,,,,Yes,1,7.9,1.7,1.3,5,8,,,Malvan,
265,10-05-2019,,GCGN4030,Gill Net,,Lattice blassop,Tetraodontiforms,Tetraodontidae,,Takifugu oblongus,,,,,Yes,1,10.1,2.1,2.1,43,8,,,Malvan,
266,10-05-2019,,GCGN4031,Gill Net,,Ornate Ponyfish,Perciformes,Leiognathidae,,Leiognathus daura,,,,,Yes,1,5.9,1.4,2.3,4,8,,,Malvan,
267,10-05-2019,,GCGN4032,Gill Net,,Cuttle Fish,,,,,,,,,Yes,1,5.8,,3.8,31,8,,,Malvan,
268,10-05-2019,,GCTR4081,Trawler,,Spiny Cheeked Grouper,Perciformes,Serranidae,,Epinephelus diacanthus,,,,,Yes,1,13.2,2.9,3.6,48,16,,,Zua,
269,10-05-2019,,GCTR4082,Trawler,,Saddle Grunt,Perciformes,Haemulidae,,Pomadasys maculatum,,,,,Yes,1,9.6,1.5,3.3,18,16,,,Zua,
270,10-05-2019,,GCTR4083,Trawler,,Moustached thryssa,Clupeiformes,Engraulidae,,Thryssa mystax,,,,,Yes,1,11.8,2.8,3,15,16,,,Zua,
271,10-05-2019,,GCTR4084,Trawler,,Mantis Shrimp,,,,,,,,,Yes,1,8.6,,1.6,4,16,,,Zua,
272,10-05-2019,,GCTR4085,Trawler,,Squid,,,,,,,,,Yes,1,10.2,,,,16,,,Zua,
273,11-05-2019,,GCGN4033,Gill Net,,Moustached thryssa,Clupeiformes,Engraulidae,,Thryssa mystax,,,,,Yes,1,6.3,1.4,1.5,3,5,,,Malvan,
274,11-05-2019,,GCGN4034,Gill Net,,Moustached thryssa,Clupeiformes,Engraulidae,,Thryssa mystax,,,,,Yes,1,13.2,2.8,3.4,25,5,,,Malvan,
