"","Date","Boat.name","Gear.Type","Fishing.Location","Depth.m","effort","lat","lon"
"92","28-11-2018","9133cfcf","GillNet","Wayari",14.96,1.5,16.0465772,73.4354166666667
"93","29-11-2018","7434cc4d","GillNet","Wayari",11.22,1,16.0465772,73.4479166666667
"94","30-11-2018","92dd25c5","GillNet","Wayari",22.44,1,16.0465772,73.39375
"95","30-11-2018","1900c151","GillNet","Wayari",14.96,0.5,16.0465772,73.4354166666667
"96","01-12-2018","893f6282","GillNet","Vayangani",13.09,1,15.8741823,73.5604166666667
"97","01-12-2018","9c03b302","GillNet","Wayari",14.96,0.75,16.0465772,73.4354166666667
"98","01-12-2018","4e43e23a","Trawler","Aachara",22.44,5,16.190837,73.3729166666667
"99","02-12-2018","893f6282","GillNet","Vayangani",5.61,1,15.8741823,73.5729166666667
"100","04-12-2018","b6363fc8","GillNet","Wayari",18.7,0.75,16.0465772,73.41875
"101","05-12-2018","1900c151","GillNet","Wayari",18.7,0.5,16.0465772,73.41875
"102","08-12-2018","1ee67f29","GillNet","Aachara",16.83,0.5,16.190837,73.39375
"103","10-12-2018","dd660e95","GillNet","Wayari",13.09,1,16.0465772,73.44375
"104","10-12-2018","e6b98cee","Trawler","Vengurla",28.05,48,15.8514136,73.4395833333333
"105","10-12-2018","4e43e23a","Trawler","Aachara",22.44,4,16.190837,73.3729166666667
"106","11-12-2018","9c2699ae","GillNet","Tarkarli",9.35,0.5,16.0370463,73.45625
"107","11-12-2018","66d60272","GillNet","Kavada Rock",7.48,0.5,16.1012464,73.4395833333333
"108","11-12-2018","7d50df84","GillNet","Wayari",14.96,0.5,16.0465772,73.4354166666667
"109","11-12-2018","3a493285","GillNet","Wayari",18.7,1.5,16.0465772,73.41875
"110","11-12-2018","603fde4f","GillNet","Tarkarli",9.35,1,16.0370463,73.45625
"111","12-12-2018","1ee67f29","GillNet","Wayari",29.92,1.5,16.0465772,73.3479166666667
"112","13-12-2018","c35887a3","Trawler","Juva Pankhol",18.7,6,16.1120596,73.40625
"113","14-12-2018","77dae807","GillNet","Kavada Rock",16.83,1.5,16.1012464,73.4145833333333
"114","14-12-2018","c9369c61","GillNet","Kavada Rock",16.83,1,16.1012464,73.4145833333333
